['Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00']
         713805 function calls (694656 primitive calls) in 7.886 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
      306    1.456    0.005    1.456    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.171    0.171    0.173    0.173 {built-in method _socket.getaddrinfo}
        1    0.057    0.057    0.057    0.057 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     2654    0.047    0.000    0.250    0.000 parser.py:301(parse_starttag)
        1    0.046    0.046    0.046    0.046 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      204    0.045    0.000    0.045    0.000 {built-in method marshal.loads}
    24595    0.042    0.000    0.042    0.000 {method 'match' of 're.Pattern' objects}
        1    0.042    0.042    0.042    0.042 {method 'connect' of '_socket.socket' objects}
    295/1    0.035    0.000    7.887    7.887 {built-in method builtins.exec}
        2    0.032    0.016    0.404    0.202 parser.py:134(goahead)
      264    0.030    0.000    0.030    0.000 {method 'decompress' of 'zlib.Decompress' objects}
 3032/231    0.022    0.000    0.062    0.000 _parser.py:512(_parse)
  661/656    0.021    0.000    0.125    0.000 {built-in method builtins.__build_class__}
     8013    0.017    0.000    0.017    0.000 element.py:156(setup)
     2654    0.016    0.000    0.103    0.000 __init__.py:722(handle_starttag)
3526/3429    0.016    0.000    0.020    0.000 {built-in method __new__ of type object at 0xa43b40}
     2539    0.016    0.000    0.025    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     5550    0.016    0.000    0.057    0.000 __init__.py:586(endData)
68281/68261    0.015    0.000    0.017    0.000 {built-in method builtins.isinstance}
     2655    0.014    0.000    0.048    0.000 element.py:1199(__init__)
    66062    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
     2654    0.014    0.000    0.123    0.000 _htmlparser.py:105(handle_starttag)
 3565/193    0.013    0.000    0.034    0.000 _compiler.py:37(_compile)
     6520    0.013    0.000    0.013    0.000 {method 'join' of 'str' objects}
     2510    0.013    0.000    0.076    0.000 parser.py:379(parse_endtag)
     1030    0.012    0.000    0.012    0.000 {built-in method posix.stat}
53557/48683    0.012    0.000    0.014    0.000 {built-in method builtins.len}
    14075    0.011    0.000    0.011    0.000 {method 'group' of 're.Match' objects}
     7977    0.011    0.000    0.011    0.000 {method 'search' of 're.Pattern' objects}
        2    0.011    0.005    0.011    0.005 {built-in method _codecs.utf_8_decode}
      266    0.010    0.000    1.544    0.006 http11.py:209(_receive_event)
      470    0.009    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    20130    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
     2653    0.009    0.000    0.018    0.000 __init__.py:688(_popToTag)
      204    0.009    0.000    0.009    0.000 {built-in method _io.open_code}
        9    0.009    0.001    0.009    0.001 {built-in method _imp.exec_dynamic}
     2655    0.008    0.000    0.010    0.000 __init__.py:572(pushTag)
    10593    0.008    0.000    0.015    0.000 _markupbase.py:44(updatepos)
     2679    0.008    0.000    0.020    0.000 __init__.py:620(object_was_parsed)
    13551    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
     2655    0.007    0.000    0.056    0.000 _htmlparser.py:160(handle_endtag)
     1933    0.007    0.000    0.010    0.000 __init__.py:91(_replace_charref)
      687    0.007    0.000    0.010    0.000 _compiler.py:243(_optimize_charset)
     2547    0.007    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     7865    0.007    0.000    0.007    0.000 {method 'count' of 'str' objects}
