CarNumber,Refund,Fines,Make,Model,Year
Y163O8161RUS,2.0,3200.0,Ford,Focus,1985
E432XX77RUS,1.0,6500.0,Toyota,Camry,1985
7184TT36RUS,1.0,2100.0,Ford,Focus,1987
X582HE161RUS,2.0,2000.0,Ford,Focus,1981
92918M178RUS,1.0,5700.0,Ford,Focus,2007
H234YH197RUS,2.0,6000.0,Ford,Focus,1980
E40577152RUS,1.0,8594.6,Ford,Focus,1986
707987163RUS,2.0,2200.0,Ford,Focus,1989
K330T8197RUS,2.0,8200.0,Skoda,Octavia,2014
X786CO96RUS,1.0,8594.6,Ford,Focus,2014
C477M7161RUS,1.0,2500.0,Ford,Focus,1990
O21997197RUS,1.0,2000.0,Ford,Focus,1996
M592CH197RUS,2.0,8594.6,Skoda,Octavia,2014
9020YC197RUS,2.0,145000.0,Skoda,Octavia,1984
8182XX154RUS,1.0,200.0,Ford,Focus,1991
7830C8197RUS,2.0,8594.6,Ford,Focus,1981
7066C8197RUS,2.0,15000.0,Volkswagen,Passat,2012
M298CH161RUS,2.0,8594.6,Ford,Focus,1989
E445TC197RUS,1.0,8594.6,Ford,Focus,1993
8440XX154RUS,1.0,6200.0,Ford,Focus,1980
9371CE154RUS,2.0,8594.6,Skoda,Octavia,1993
9182CE154RUS,2.0,19800.0,Ford,Focus,1997
83298C154RUS,2.0,8594.6,Ford,Focus,2008
Y7659C197RUS,2.0,8594.6,Ford,Focus,1991
C922YE197RUS,2.0,3800.0,Volkswagen,Golf,2006
7364C8197RUS,2.0,8594.6,Ford,Focus,1980
M5039X197RUS,2.0,7400.0,Volkswagen,,1985
8603T8154RUS,1.0,1500.0,Ford,Focus,1996
92928M178RUS,1.0,8594.6,Ford,Focus,1987
O672E8197RUS,2.0,63300.0,Skoda,Octavia,1991
E42277152RUS,2.0,10600.0,Ford,Focus,2014
C903MC161RUS,1.0,1600.0,Volkswagen,Jetta,2000
T7318T163RUS,2.0,12000.0,Toyota,Camry,2016
Y7719C197RUS,1.0,9200.0,Ford,Focus,2013
T011MY163RUS,1.0,2000.0,Ford,Focus,1994
